Name	RADeg	DecDeg	RAHour	RAMinute	RASecond	DecSign	DecDeg	DecMinute	DecSecond	Type	Constellation	Magnitude	Info
MCG 1-10-2	53.35	-5.00	3	33.4		-1	5	0		Galaxy	Eri	13.1	Size: 1.8  pF, S
ESO 200-31	52.68	-50.28	3	30.7		-1	50	17		Galaxy	Hor		vF, pL, iR, gbM, * nr
MCG 2-10-1	53.30	-13.67	3	33.2		-1	13	40		Galaxy	Eri	13	Size: 2.4  pF, pL, R, lbM, *9 nf
MCG 1-10-3	53.43	-5.08	3	33.7		-1	5	5		Galaxy	Eri	12.1	Size: 2.8  vF, S, bet 2 st
ESO 548-39	53.45	-19.48	3	33.8		-1	19	29		Galaxy	Eri	12.2	Size: 1.9  F, L, R, vglbM
PK 220-53.1	53.33	-25.85	3	33.3		-1	25	51		Planetary Nebula	For		Size: 6.5  *8 in B, L neb, E ns
MCG 1-10-5	53.55	-6.25	3	34.2		-1	6	15		Galaxy	Eri		eF, eS, gbMN
ESO 548-41	53.45	-20.28	3	33.8		-1	20	17		Galaxy	Eri	14	vF, S, R
IRAS03324-1000	53.70	-9.83	3	34.8		-1	9	50		Galaxy	Eri		vF, S, R, *7 sp 3'.5, sp of 2
	53.75	-9.83	3	35		-1	9	50		Galaxy	Eri		vF, S, vlE, nf of 2
ESO 358-17	53.40	-36.13	3	33.6		-1	36	8		Galaxy	For	9.5	Size: 9.8  !! vB, vL, mE, rN
ESO 418-10	53.48	-31.20	3	33.9		-1	31	12		Galaxy	For	13	Size: 2.7  vF, S, iF, lbM
NGC 1371	53.68	-24.93	3	34.7		-1	24	56			For		vF; = 1371
MCG 3-10-12	53.75	-15.63	3	35		-1	15	38		Galaxy	Eri	15	vF, vS, R, lbM
ESO 358-G034	53.53	-36.28	3	34.1		-1	36	17			For		F
ESO 548-48	53.80	-20.37	3	35.2		-1	20	22		Galaxy	Eri	14	vF, S, R, bet 2 st 14
NGC 1367	53.75	-24.93	3	35		-1	24	56		Galaxy	For	11	Size: 5.4  pB, pL, vlE, psbM
NPM1G -16.0142	54.25	-15.88	3	37		-1	15	53		Galaxy	Eri		vF, vS, R, glbM
ESO 358-21	53.78	-35.18	3	35.1		-1	35	11		Galaxy	For		eF, vS, p of 3
ESO 358-23	53.83	-35.23	3	35.3		-1	35	14		Galaxy	For	12	Size: 1.8  vB, pL, lE, gmbM, 2nd of 3
ESO 358-24	53.80	-35.27	3	35.2		-1	35	16		Galaxy	For		Size: 1.9  B, S, lE, pmbM, 3rd of 3
MCG 1-10-11	54.28	-5.05	3	37.1		-1	5	3		Galaxy	Eri	13	Size: 2.0  eF, pL, iR, bM, r
ESO 548-51	54.18	-20.90	3	36.7		-1	20	54		Galaxy	Eri	14	F, S, R, gbM
ESO 358-**30	53.98	-35.20	3	35.9		-1	35	12		Double Star	For		F
ESO 358-27	54.03	-35.45	3	36.1		-1	35	27		Galaxy	For	12	Size: 2.0  glob. cl. , B, pL, R, gpmbM
ESO 358-28	54.13	-34.98	3	36.5		-1	34	59		Galaxy	For	11	Size: 4.9  vB, L, R, psbM
ESO 358-29	54.15	-35.30	3	36.6		-1	35	18		Galaxy	For	12	Size: 2.9  F
NGC 1380B	54.28	-35.20	3	37.1		-1	35	12		Galaxy	For		Size: 2.1  F
ESO 548-53	54.40	-18.33	3	37.6		-1	18	20		Galaxy	Eri	14	pF, S, R, psmbM
MCG 3-10-3	54.80	15.83	3	39.2		1	15	50		Galaxy	Tau	15	neb *13
ESO 482-16	54.38	-24.50	3	37.5		-1	24	30		Galaxy	For	11.2	Size: 3.0  pB, pS, R, gpmbM
ESO 358-35	54.23	-36.00	3	36.9		-1	36	0		Galaxy	Eri	12	Size: 3.5  F
ESO 358-36	54.25	-35.52	3	37		-1	35	31		Galaxy	For	12	Size: 2.4  glob. cl. , vB, pL, R, gmbM
NPM1G -16.0146	54.58	-15.88	3	38.3		-1	15	53		Galaxy	Eri		vF, vS, R, lbM
ESO 358-38	54.30	-35.75	3	37.2		-1	35	45		Galaxy	Eri	13	Size: 2.1  F
ESO 548-54	54.48	-19.00	3	37.9		-1	19	0		Galaxy	Eri	15	vF, pS, E 260deg
ESO 548-59	54.63	-18.35	3	38.5		-1	18	21			Eri		eF, S, R, gbMN
	54.20	-36.27	3	36.8		-1	36	16		Galaxy	Eri		vF, pS, R
ESO 548-58	54.65	-18.43	3	38.6		-1	18	26		Galaxy	Eri	14	Size: 1.8  F, S, R, glbM
ESO 548-60	54.78	-18.28	3	39.1		-1	18	17		Galaxy	Eri	14	Size: 1.5  vF, vS, E 170deg , sbMN
ESO 482-19	54.63	-23.03	3	38.5		-1	23	2		Galaxy	Eri	11	Size: 3.2  B, pS, E, psmbM
FCC 202	54.53	-35.67	3	38.1		-1	35	40			Eri		F
MCG 1-10-17	54.90	-4.67	3	39.6		-1	4	40		Galaxy	Eri	14	vF, vS, lE
ESO 482-22	54.73	-26.33	3	38.9		-1	26	20		Galaxy	For	9.7	Size: 6.6  cB, cL, R, vmbM
ESO 358-45	54.63	-35.45	3	38.5		-1	35	27		Galaxy	For	9.9	Size: 3.2  glob. cl. , vB, pL, psbM, rr
ESO 548-62	54.88	-18.68	3	39.5		-1	18	41		Galaxy	Eri	11.1	Size: 1.9  cB, pS, R, psmbM
ESO 482-26	54.85	-22.73	3	39.4		-1	22	44		Galaxy	Eri	13	Size: 2.8  vF, vS, R
ESO 548-61	54.85	-18.52	3	39.4		-1	18	31		Galaxy	Eri	15	eF, vS, R
ESO 482-25	54.83	-22.38	3	39.3		-1	22	23		Galaxy	Eri	14	vF, eS, neb*
ESO 358-46	54.73	-35.58	3	38.9		-1	35	35		Galaxy	For	10.3	Size: 2.5  vB, pL, R, psmbM
MCG 3-10-28	55.05	-15.50	3	40.2		-1	15	30		Galaxy	Eri	16	eF, pL, mE 150deg , glbM, F st inv
ESO 418-15	54.85	-31.32	3	39.4		-1	31	19		Galaxy	For	13	Size: 3.9  F, cL, vmE, vglbM, *7 np
ESO 548-67	55.05	-18.58	3	40.2		-1	18	35		Galaxy	Eri	9.8	Size: 2.5  vB, L, R, svmbMN
ESO 358-?48	54.85	-35.52	3	39.4		-1	35	31			For		F
UGC 2821	55.30	-1.28	3	41.2		-1	1	17		Galaxy	Tau	15	Size: 1.3  eF, stellar or lE
UGC 2821	55.30	-1.28	3	41.2		-1	1	17		Galaxy	Tau		makes Dneb with 1409, pos 0deg
IC 1943	54.70	-44.08	3	38.8		-1	44	5		Galaxy	Hor	12	Size: 2.8  B, pS, R, smbM
ESO 482-G029	55.15	-26.22	3	40.6		-1	26	13			For		F, S, E, gbM, * sf 2'
NPM1G -15.0199	55.08	-15.58	3	40.3		-1	15	35		Galaxy	Eri		eF, vS, R, lbM
ESO 548-71	55.38	-21.68	3	41.5		-1	21	41			Eri		eF, pS, mE 0deg , bMN
IC 1983	55.25	-22.57	3	41		-1	22	34		Galaxy	Eri	12	Size: 3.6  pB, S, lE, pglbM, * sf
ESO 482-34	55.25	-22.72	3	41		-1	22	43		Galaxy	Eri	14	Size: 1.5  eF, S, R, *8.6 n 2'
MCG 1-10-21	55.50	-4.70	3	42		-1	4	42		Galaxy	Eri	12	Size: 2.8  pF, pL, lE, lbM, * sf
MCG 1-10-22	55.58	-4.73	3	42.3		-1	4	44		Galaxy	Eri	15	Size: 1.5  vF, S, E, *11 sf 1'
ESO 301-23	55.15	-37.52	3	40.6		-1	37	31		Galaxy	Eri		pF, pS, R, psbM
	55.68	-5.85	3	42.7		-1	5	51		Triple Star	Eri		F, vS, *13 p
MCG 2-10-8	55.63	-13.48	3	42.5		-1	13	29		Galaxy	Eri	11.4	Size: 3.6  F, cL, mE 0deg , r
ESO 548-77	55.38	-21.68	3	41.5		-1	21	41		Galaxy	Eri	13	Size: 2.1  eF, pS, E 80deg
MCG 1-10-25	55.65	-6.37	3	42.6		-1	6	22		Galaxy	Eri	15	eeF, S, R, v diffic
NGC 1429	55.80	-4.73	3	43.2		-1	4	44		Galaxy	Eri	15	Size: 2.1  vF, *10-11 np
ESO 419-4	55.55	-29.90	3	42.2		-1	29	54		Galaxy	For	12	Size: 5.4  F, pL, iR, gbM
ESO 549-1	55.70	-22.12	3	42.8		-1	22	7		Galaxy	Eri	11.4	Size: 2.1  pF, S, lE, bM
ESO 358-52	55.58	-35.42	3	42.3		-1	35	25		Galaxy	For	12	Size: 2.8  pF, S, R, psmbM
ESO 358-53	55.60	-35.17	3	42.4		-1	35	10		Galaxy	For		Size: 1.8  F
	56.00	-4.72	3	44		-1	4	43		Star	Eri		eF, vS, E 0deg , gbMN, f of 2
	55.85	-18.23	3	43.4		-1	18	14			Eri		eF, S, E 20deg , sbMN
UGC 2845	56.15	2.85	3	44.6		1	2	51		Galaxy	Tau	15	eF, pL, iR
LBN 772	56.45	24.37	3	45.8		1	24	22		Nebula	Tau		Size: 30.  eF, vL, dif (Maia,  in Pleiad
ESO 249-14	55.50	-47.22	3	42		-1	47	13		Galaxy	Hor	10	Size: 6.8  vB, L, pmE, vsvmbM *10
	56.10	-9.68	3	44.4		-1	9	41			Eri		eF, S, R, *8.5 f 25s , n 3'
CED 19I	56.53	23.78	3	46.1		1	23	47		Nebula	Tau		Size: 30.  vF, vL, dif (Merope)
NGC 1437	55.90	-35.85	3	43.6		-1	35	51		Galaxy	Eri		glob. cl. , vB, pmE, pgbM; = 1437
NGC 1436	55.90	-35.87	3	43.6		-1	35	52		Galaxy	Eri	12	Size: 2.9  F, vL, R, glbM
ESO 482-41	56.35	-23.02	3	45.4		-1	23	1		Galaxy	Eri		Size: 2.6  eF, mE, N, *10 f 1'
ESO 549-9	56.20	-21.92	3	44.8		-1	21	55		Galaxy	Eri	12	Size: 2.3  F, pS, gpmbM
NGC 1442	56.25	-18.27	3	45		-1	18	16		Galaxy	Eri	13	Size: 2.3  pB, pS, R, smbM *13
MCG 1-10-29	56.43	-4.10	3	45.7		-1	4	6		Galaxy	Eri	12.9	Size: 1.5  vF, S, iE, *12 f
NGC 1440	56.25	-18.27	3	45		-1	18	16		Galaxy	Eri		pB, vS, bM; = 1440
	56.43	-4.02	3	45.7		-1	4	1		Star	Eri		vF, nf 1441
OCL 394	57.35	52.67	3	49.4		1	52	40		Open Cluster	Per	6.6	Size: 4.  Cl of ab 30 st 12...14
	56.23	-9.83	3	44.9		-1	9	50		Galaxy	Eri		vF, S, R, *9 np 2'
NGC 1451	56.50	-4.07	3	46		-1	4	4		Galaxy	Eri	14	Size: 0.4  eF, f 1441
NPM1G -09.0165	56.45	-8.98	3	45.8		-1	8	59		Galaxy	Eri		vF, S, R, neb? *7-8 f 3'
NGC 1457	56.13	-44.65	3	44.5		-1	44	39		Galaxy	Hor	11	Size: 8.1  pB, L, vmE 222deg ; = 1457
MCG 1-10-32	56.50	-4.13	3	46		-1	4	8		Galaxy	Eri	13.5	Size: 1.1  vF, vS, vlE
	56.40	-9.22	3	45.6		-1	9	13		Galaxy	Eri		eF, pS, R (D, dist 0'.4?)
NGC 1446	56.53	-4.07	3	46.1		-1	4	4		Galaxy	Eri	13.3	Size: 0.7  vF, vS, lE
NGC 1455	56.35	-18.63	3	45.4		-1	18	38		Galaxy	Eri	13	Size: 1.7  F, R, lbM, hazy *
MCG 1-10-34	56.60	-3.97	3	46.4		-1	3	58		Galaxy	Eri	11.6	Size: 2.1  pB, S, R, *17 in M
	56.48	-20.68	3	45.9		-1	20	41			Eri		vF, eS, R, (*?), *9.5 sp 3'
NGC 1452	56.35	-18.63	3	45.4		-1	18	38		Galaxy	Eri		Size: 2.6  vF, S, lE 30deg , sbMN; = 145
	57.05	22.57	3	48.2		1	22	34			Tau		"D* 10-12, comp nebulous at 130deg , 9"""
NGC 1448	56.13	-44.63	3	44.5		-1	44	38		Galaxy	Hor		pF, pL, eE 42deg , vgpmbM; = 1448
	56.75	-18.25	3	47		-1	18	15			Eri		nonexistent
ESO 482-43	56.75	-25.52	3	47		-1	25	31		Galaxy	For	14	eF, pS, gbM
ESO 358-62	56.53	-36.68	3	46.1		-1	36	41		Galaxy	Eri		F, S, R, * att
MCG 3-10-47	57.13	-16.40	3	48.5		-1	16	24		Galaxy	Eri	11.7	Size: 3.3  pB, S, lE, mbMN
MCG 1-10-10	57.58	6.98	3	50.3		1	6	59		Galaxy	Tau	15	vF, S, vlE
ESO 117-9	56.55	-59.80	3	46.2		-1	59	48		Galaxy	Ret		cF, S, R, glbM, am 7 B st
NGC 1471	57.85	-15.42	3	51.4		-1	15	25		Galaxy	Eri		pF, S, R, 2 st nr
UGC 2891	58.40	32.47	3	53.6		1	32	28		Galaxy	Per	15	pF, pS, R, pB* nr p
ESO 54-SC16	56.13	-71.68	3	44.5		-1	71	41		Globular Cluster	Hyi	11.4	Size: 2.3  pF, pS, iR, glbM, *7 f
MCG 2-10-15	57.98	-8.85	3	51.9		-1	8	51		Galaxy	Eri	15	eF, vS, R, *9 s 4'
MCG 1-10-45	58.05	-6.35	3	52.2		-1	6	21		Galaxy	Eri	15	vF, vS, R, bM
UGC 2909	60.13	68.58	4	0.5		1	68	35		Galaxy	Cam	15	Size: 2.3  vF, vS, R, B* nr
MCG 2-10-16	58.05	-9.02	3	52.2		-1	9	1		Galaxy	Eri	15	eF, S, E 0deg
NGC 1464	58.28	-15.40	3	53.1		-1	15	24			Eri		vF, vS, E 45deg ; = 1464?
NPM1G -08.0152	58.43	-8.58	3	53.7		-1	8	35		Galaxy	Eri		vF, eS, stell N, 1st of 3
ESO 54-19	56.85	-68.20	3	47.4		-1	68	12		Galaxy	Hyi		cF, pL, R, gvlbM
IC 2002	58.55	-10.42	3	54.2		-1	10	25		Galaxy	Eri	14	vF, S, R
	58.53	-8.12	3	54.1		-1	8	7			Eri		eF, eS, R, *14 np 4'
ESO 249-24	58.03	-44.53	3	52.1		-1	44	32		Galaxy	Hor		Size: 1.7  cF, S, E 90deg , gbM
NPM1G -08.0154	58.50	-8.58	3	54		-1	8	35		Galaxy	Eri		eF, vS, 2nd of 3
NPM1G -08.0155	58.53	-8.57	3	54.1		-1	8	34		Galaxy	Eri		eF, vS, 3rd of 3
	58.60	-10.20	3	54.4		-1	10	12			Eri		eF, S, E, p of 2
	58.63	-10.27	3	54.5		-1	10	16			Eri		eF, S, iR, f of 2, *10 f 30s
ESO 549-32	58.60	-20.42	3	54.4		-1	20	25		Galaxy	Eri	15	eF, S, R, 2 B st f, p of 2
ESO 549-33	58.68	-20.50	3	54.7		-1	20	30		Galaxy	Eri	14	Size: 1.5  F, S, vlE, 2 st 10 nr, f of 2
ESO 201-7	58.18	-47.48	3	52.7		-1	47	29		Galaxy	Hor		cF, pL, R, vglbM
ESO 359-6	58.55	-37.00	3	54.2		-1	37	0		Galaxy	Eri		vF, L, E, vgvlbM
UGC 2933	61.28	71.00	4	5.1		1	71	0		Galaxy	Cam	14	Size: 2.4  eF, pS, R
ESO 549-37	59.08	-21.82	3	56.3		-1	21	49		Galaxy	Eri	15	eF, vS, R
ESO 249-31	58.95	-42.37	3	55.8		-1	42	22		Galaxy	Eri	12	Size: 2.0  pB, pL, R, gbM, 2 st triangle
	59.53	18.57	3	58.1		1	18	34		Galaxy	Tau	15	*12 inv in neb
ESO 549-42	59.40	-19.23	3	57.6		-1	19	14		Galaxy	Eri	14	eF, pS, E 190deg
ESO 83-11	58.38	-66.03	3	53.5		-1	66	2		Galaxy	Ret		pB, S, vlE, pmbM
LBN 704	60.85	51.32	4	3.4		1	51	19		Nebula	Per		Size: 3.  vB, S, iF, bM, r, * inv
ESO 359-12	59.53	-35.45	3	58.1		-1	35	27		Galaxy	Eri		vF, vS, R
ESO 249-33	59.38	-46.20	3	57.5		-1	46	12		Galaxy	Hor	12	Size: 2.6  F, cL, R, vglbM
ESO 201-12	59.43	-48.90	3	57.7		-1	48	54		Galaxy	Hor	12	Size: 2.6  F, L, R, vgvlbM, 3 st n
ESO 249-34	59.60	-44.47	3	58.4		-1	44	28		Galaxy	Hor		Size: 2.9  eF, S, lE 90deg , vgvlbM
OCL 396	61.10	52.62	4	4.4		1	52	37		Open Cluster	Per	10	Size: 6.  Cl, segment of a ring
UGC 2929	60.53	23.13	4	2.1		1	23	8		Galaxy	Tau	14	eF, vS, iR, mbM
	60.13	-12.02	4	0.5		-1	12	1			Eri		Cl, S, C
LBN 756	60.18	36.62	4	0.7		1	36	37		Nebula	Per		Size: 145.  vF, vL, E ns, dif
ESO 201-13	59.55	-52.32	3	58.2		-1	52	19		Galaxy	Dor		F, vS, R, pmbM, *8 np
PK 144+6.1	61.75	60.92	4	7		1	60	55		Planetary Nebula	Cam	13	Size: 0.9  PN , pB, pS, vlE, 1' diam
OCL 383	61.93	62.33	4	7.7		1	62	20		Open Cluster	Cam	5.7	Size: 8.  Cl, pRi, cC, iF
ESO 83-13	59.13	-66.03	3	56.5		-1	66	2		Galaxy	Ret		eF, pS, R, *10 np
MCG 2-11-8	60.63	-9.32	4	2.5		-1	9	19		Galaxy	Eri	15	eF, S, R, gbM
MCG 2-11-9	60.68	-9.30	4	2.7		-1	9	18		Galaxy	Eri	15	eF, S, R, gbM
ESO 156-27	60.10	-52.57	4	0.4		-1	52	34		Galaxy	Dor		eeeF, S, R, bet 2 st 12 & 13
UGC 2947	61.13	-2.18	4	4.5		-1	2	11		Galaxy	Eri	12.2	Size: 3.4  vF, pL, mE, vlbM, er
MCG 4-10-21	61.45	25.40	4	5.8		1	25	24		Galaxy	Tau	15	vF, vS, R, bM, r
IC 2026	61.00	-11.20	4	4		-1	11	12		Galaxy	Eri	15	vF, vS, lE, F* nr p
ESO 250-3	60.88	-43.42	4	3.5		-1	43	25		Galaxy	Hor	13	Size: 1.0  F, pL, R, vgmbM
ESO 55-4	59.88	-67.63	3	59.5		-1	67	38		Galaxy	Hyi	12	Size: 3.3  pB, pS, mE 121deg .5, gbM
ESO 250-4	60.98	-43.35	4	3.9		-1	43	21		Galaxy	Hor	10.6	Size: 4.0  eF ring , B, cL, R, bM
OCL 398	62.50	49.52	4	10		1	49	31		Open Cluster	Per	8.4	Size: 9.  Cl, L, vRi, pC, st vL
PK 165-15.1	62.30	30.78	4	9.2		1	30	47		Planetary Nebula	Tau	10	Size: 1.9  *9 in neb 3' diam
ESO 156-36	61.03	-54.10	4	4.1		-1	54	6		Galaxy	Dor	11	Size: 5.4  B, L, vmE 10deg , bM
	62.03	-8.88	4	8.1		-1	8	53		Galaxy	Eri	15	eeF, S, E, psmbM, er
UGC 2970	62.33	8.65	4	9.3		1	8	39		Galaxy	Tau	14	vF, vS, R, r, *9-10 sf
ESO 550-7	61.70	-21.18	4	6.8		-1	21	11		Galaxy	Eri	11.8	Size: 3.0  B, L, pmE, gbM, *8 sp
ESO 550-9	62.03	-17.20	4	8.1		-1	17	12		Galaxy	Eri	13	Size: 2.0  vF, S, lE, vS* inv
ESO 32-SC5	59.38	-76.83	3	57.5		-1	76	50		Open Cluster	Men		Cl, pL, lRi, st 9-10
ESO 550-11	62.08	-21.05	4	8.3		-1	21	3		Galaxy	Eri	11.4	Size: 2.9  pB, R, bM
ESO 156-38	61.53	-52.67	4	6.1		-1	52	40		Galaxy	Dor		eF, vS, R, vlbM
ESO 156-**39	61.55	-54.10	4	6.2		-1	54	6		Asterism	Dor		only 3 vF st (not a neb)
NGC 1516	62.58	-8.80	4	10.3		-1	8	48			Eri		eF, pS, R, gbM, Dneb with 1525
NGC 1516	62.58	-8.80	4	10.3		-1	8	48			Eri		eF, pS, R, gbM, at 340deg , 0'.5 from 15
ESO 84-3	61.30	-65.83	4	5.2		-1	65	50		Galaxy	Ret		eF, vS, R, glbM
ESO 201-20	62.10	-47.88	4	8.4		-1	47	53		Galaxy	Hor	12	Size: 3.4  pB, pS, E 77deg , vsmbMRN
OCL 397	63.85	51.23	4	15.4		1	51	14		Open Cluster	Per	6.4	Size: 24.  Cl, B, vRi, cC
ESO 84-4	61.80	-62.90	4	7.2		-1	62	54		Galaxy	Ret		vF, S, R, gbM
IC 381	65.85	75.30	4	23.4		1	75	18		Galaxy	Cam	12	Size: 4.9  pB, L
ESO 359-26	63.00	-32.85	4	12		-1	32	51		Galaxy	Eri	12.1	Size: 1.3  pB, pL, R, bM, np of 2
ESO 359-27	63.03	-32.87	4	12.1		-1	32	52		Galaxy	Eri	11	Size: 5.6  B, vL, vmE 32deg , psmbM
ESO 157-3	62.48	-56.12	4	9.9		-1	56	7		Galaxy	Dor	10.9	Size: 2.9  vB, vL, R, smbM, 2 st 10 nf
ESO 84-6	62.20	-62.78	4	8.8		-1	62	47		Galaxy	Ret		F, S, R, vS* 3/4deg sf
PK 206-40.1	63.55	-12.73	4	14.2		-1	12	44		Planetary Nebula	Eri	10	Size: 0.7  PN , vB, S, R, pS, vsbM, r
ESO 157-5	62.75	-56.48	4	11		-1	56	29		Galaxy	Ret	13	Size: 2.0  vF, R, pL, vlbM
ESO 420-12	63.43	-31.65	4	13.7		-1	31	39		Galaxy	Eri	12	vB, pS, lE, psvmbM
NPM1G -13.0171	63.68	-13.20	4	14.7		-1	13	12		Galaxy	Eri	15	eF, vS, R, gbM
ZWG 488. 1	64.75	26.85	4	19		1	26	51		Galaxy	Tau	15	vF, vS, gbM
ESO 420-14	63.80	-28.48	4	15.2		-1	28	29		Galaxy	Eri		Size: 1.2  vF, vS, E, gvlbM, r
UGC 3001	64.25	0.83	4	17		1	0	50		Galaxy	Tau	15	vF, S
UGC 3003	64.30	4.80	4	17.2		1	4	48		Galaxy	Tau	15	vF, S, E
ESO 118-10	63.20	-57.73	4	12.8		-1	57	44		Galaxy	Ret	10.6	Size: 3.9  B, pL, E, smbMN = *11
UGC 3160	75.75	86.22	5	3		1	86	13		Galaxy	Cep	14	vF, vS
OCL 399	65.23	50.25	4	20.9		1	50	15		Open Cluster	Per	6.2	Size: 18.  Cl, pRi, lC, st L
ESO 157-12	63.65	-56.07	4	14.6		-1	56	4		Galaxy	Dor	11.6	Size: 3.2  pB, lE, gbMEN, **  p
ESO 550-G018	64.30	-17.88	4	17.2		-1	17	53			Eri		pF, pS, iR, Cl
	65.25	36.93	4	21		1	36	56		Open Cluster	Per		Cl, vL, lRi, lC, st 10...12
ESO 157-16	63.93	-55.60	4	15.7		-1	55	36		Galaxy	Dor	9.9	Size: 3.7  B, pS, R
NGC 1551	64.90	2.43	4	19.6		1	2	26		Galaxy	Tau	14	vF, S, R, *13 nr
NGC 1550	64.90	1.42	4	19.6		1	1	25			Tau		F, vS, R, probably = 1550
UGC 3015	65.08	-0.67	4	20.3		-1	0	40		Galaxy	Eri	14	cF, pS, lE, vgbM, *11 sp
ESO 157-17	64.05	-55.78	4	16.2		-1	55	47		Galaxy	Dor	9.5	Size: 4.1  vB, pS, R, gmbM, am 3 st; a D
LBN 817	65.45	19.53	4	21.8		1	19	32		Nebula	Tau		!!! var, S, R, Nn = *13
DG 31	65.73	19.53	4	22.9		1	19	32		Nebula	Tau		!!! vF, S, variable
ESO 202-4	64.43	-50.17	4	17.7		-1	50	10		Galaxy	Dor		cF, S, E 165deg , vglbM
ESO 55-**15	63.33	-70.42	4	13.3		-1	70	25			Hyi		Cl, vlC, ab 20 sc st
ESO 250-17	64.83	-45.03	4	19.3		-1	45	2		Galaxy	Hor		pF, S, E, gbM
ESO 84-10	64.40	-62.78	4	17.6		-1	62	47		Galaxy	Ret	10.5	Size: 3.3  vB, vL, mE, vgpmbM, *14 att n
IC 2062	68.20	71.88	4	32.8		1	71	53		Galaxy	Cam	11.5	Size: 9.8  vF, L, E, *9.3 sp
MCG 3-12-6	65.75	-15.85	4	23		-1	15	51		Galaxy	Eri	15	vF, vS, lE 170deg , glbM, *8 p 6s
NPM1G -15.0224	65.43	-15.75	4	21.7		-1	15	45		Galaxy	Eri		vF, eS, R, glbM
MCG 3-12-5	65.73	-15.73	4	22.9		-1	15	44			Eri		eF, vS, R, lbM, D with 1564
NPM1G -15.0226	65.73	-15.73	4	22.9		-1	15	44		Galaxy	Eri		eF, vS, R, lbM, D with 1563
MCG 3-12-7	65.85	-15.75	4	23.4		-1	15	45		Galaxy	Eri	15	eF, pS, lE
ESO 157-20	65.00	-54.93	4	20		-1	54	56		Galaxy	Dor	9.4	Size: 7.6  B, vL, VG, svmbM, 15s  d in R
ESO 202-10	65.28	-48.25	4	21.1		-1	48	15		Galaxy	Cae		Size: 1.2  F, S, R, bM
UGC 3031	66.10	-0.75	4	24.4		-1	0	45		Galaxy	Eri	15	eF, vS, R, nearly bet 2 st
UGC 3056	67.70	64.85	4	30.8		1	64	51		Galaxy	Cam	11.2	Size: 2.9  pB, S, lE, BNM, *9.5 n 1'
NGC 1571	65.53	-43.63	4	22.1		-1	43	38		Galaxy	Cae		F, S, R, gbM; = 1571
NGC 1570	65.55	-43.63	4	22.2		-1	43	38		Galaxy	Cae		vF, S, R, gbM, **  nf
ESO 303-14	65.65	-40.60	4	22.6		-1	40	36		Galaxy	Cae		pF, S, R, *13 nf 1'
UGC 3077?	68.75	73.25	4	35		1	73	15		Galaxy	Cam	14	Size: 2.2  vF, S, *9.5 f
ESO 157-22	65.50	-56.97	4	22		-1	56	58		Galaxy	Ret	10.5	Size: 2.0  pB, S, R, pgbM, 2 S st sf
NGC 1577	66.58	-10.12	4	26.3		-1	10	7		Galaxy	Eri	13	vF, pS, R, *9.5 s 2'; = 1577
MCG 1-12-7	66.55	-3.62	4	26.2		-1	3	37		Galaxy	Eri	15	eF, bM, bet 2 st
NGC 1575	66.58	-10.12	4	26.3		-1	10	7		Galaxy	Eri	13	vF, pL, R, lbM, * nr s
ESO 202-14	65.95	-51.58	4	23.8		-1	51	35		Galaxy	Dor		pF, S, R, bM
LBN 766	67.55	35.27	4	30.2		1	35	16		Nebula	Per		Size: 12.  pB, vL, iR, mbM, *8 350deg , 
MCG 1-12-11	67.05	-5.18	4	28.2		-1	5	11		Galaxy	Eri	14	vF, vS, R, r
ESO 157-26	66.18	-54.93	4	24.7		-1	54	56		Galaxy	Dor		F, S, E, glbM
OCL 407	68.00	43.85	4	32		1	43	51		Open Cluster	Per	7	Size: 37.  Cl, vL, pRi, lC, st L
ESO 551-8	67.08	-17.62	4	28.3		-1	17	37		Galaxy	Eri	15	F, vS, R, sbMN
ESO 551-6	67.03	-17.53	4	28.1		-1	17	32		Galaxy	Eri		F, eS, R, sbMN
ESO 303-18	66.88	-42.15	4	27.5		-1	42	9		Galaxy	Cae		pF, S, R, gbM, *12 288deg
UGC 3062	67.68	-0.32	4	30.7		-1	0	19		Galaxy	Eri	14	vF, iF, vlbM, bet **  & *14
UGC 3063	67.68	0.67	4	30.7		1	0	40		Galaxy	Tau	13	Size: 2.0  F, pS, R, r, p of Dneb
UGC 3064	67.70	0.65	4	30.8		1	0	39		Galaxy	Tau	14	Size: 1.8  F, vS, R, r, f of Dneb
UGC 3065	67.70	0.85	4	30.8		1	0	51		Galaxy	Tau	14	Size: 3.1  F, pL, lE 132deg , * 42deg , 
UGC 3071	67.80	7.62	4	31.2		1	7	37		Galaxy	Tau	15	Size: 1.3  F, S, *12 nf
ESO 484-25	67.35	-26.73	4	29.4		-1	26	44		Galaxy	Eri	13	pF, pS, R, gbM
ESO 421-G002	67.40	-26.97	4	29.6		-1	26	58			Eri		only F st
NGC 1608	67.98	0.57	4	31.9		1	0	34		Galaxy	Tau		vF; = 1608
IC 2075	67.70	-5.80	4	30.8		-1	5	48		Galaxy	Eri	14	vF, pS
ESO 202-25	67.10	-47.82	4	28.4		-1	47	49		Galaxy	Cae		Size: 1.5  vF, S, R, bM
ESO 157-31	66.90	-55.03	4	27.6		-1	55	2		Galaxy	Dor	11	Size: 3.9  B, pL, mE 15deg , smbM, p of 
MCG 2-12-32	67.80	-11.28	4	31.2		-1	11	17		Galaxy	Eri	15	eF, vS, R, gbM
