Full name	RA decimal	Declination decimal	Type	Constellation	RAHour	RAMinute	DecSign	DecHr	DecMinute	Magnitude	Info	Distance (ly)	M number
M58	189.425	11.82	Spiral Galaxy	Virgo	12	37.7	1	11	49	9.7	Size: 5.5x4.5	60000000	M58
M59	190.5	11.65	Elliptical Galaxy	Virgo	12	42	1	11	39	9.6	Size: 5x3.5	60000000	M59
M60	190.925	11.55	Elliptical Galaxy	Virgo	12	43.7	1	11	33	8.8	Size: 7x6	60000000	M60
M61	185.475	4.47	Spiral Galaxy	Virgo	12	21.9	1	4	28	9.7	Size: 6x5.5	60000000	M61
M62	255.3	-30.12	Globular Cluster	Ophiucus	17	1.2	-1	30	7	6.5	Size: 14.1	21500	M62
M63	198.95	42.03	Spiral Galaxy	Canes Venatici	13	15.8	1	42	2	8.6	Size: 10x6	37000000	M63
M64	194.175	21.68	Spiral Galaxy	Coma Berenices	12	56.7	1	21	41	8.5	Size: 9.3x5.4	19000000	M64
M65	169.725	13.08	Spiral Galaxy	Leo	11	18.9	1	13	5	9.3	Size: 8x1.5	35000000	M65
M66	170.05	12.98	Spiral Galaxy	Leo	11	20.2	1	12	59	8.9	Size: 8x2.5	35000000	M66
M67	132.6	11.82	Open Cluster	Cancer	8	50.4	1	11	49	6.1	Size: 30	2700	M67
M68	189.875	-26.75	Globular Cluster	Hydra	12	39.5	-1	26	45	7.8	Size: 12	33300	M68
M69	277.85	-32.35	Globular Cluster	Sagittarius	18	31.4	-1	32	21	7.6	Size: 7.1	26700	M69
M70	280.8	-32.30	Globular Cluster	Sagittarius	18	43.2	-1	32	18	7.9	Size: 7.8	28000	M70
M71	298.45	18.78	Globular Cluster	Sagitta	19	53.8	1	18	47	8.3	Size: 7.2	11700	M71
M72	313.375	-12.53	Globular Cluster	Aquarius	20	53.5	-1	12	32	9.3	Size: 5.9	52800	M72
M73	314.75	-12.63	Group/Asterism	Aquarius	20	59	-1	12	38	9	Size: 2.8	2000	M73
M74	24.175	15.78	Spiral Galaxy	Pisces	1	36.7	1	15	47	9.4	Size: 10.2x9.5	35000000	M74
M75	301.525	-21.92	Globular Cluster	Sagittarius	20	6.1	-1	21	55	8.5	Size: 6	57700	M75
M76	25.575	51.57	Planetary Nebula	Perseus	1	42.3	1	51	34	10.1	Size: 2.7x1.8	3400	M76
M77	40.675	0.02	Spiral Galaxy	Cetus	2	42.7	1	0	1	8.9	Size: 7x6	60000000	M77
M78	86.675	0.05	Diffuse Nebula	Orion	5	46.7	1	0	3	8.3	Size: 8x6	1600	M78
M79	81.125	-24.55	Globular Cluster	Lepus	5	24.5	-1	24	33	7.7	Size: 8.7	41100	M79
M80	244.25	-22.98	Globular Cluster	Scorpius	16	17	-1	22	59	7.3	Size: 8.9	27400	M80
M81	148.9	69.07	Spiral Galaxy	Ursa Major	9	55.6	1	69	4	6.9	Size: 21x10	12000000	M81
M82	148.95	69.68	Irregular Galaxy	Ursa Major	9	55.8	1	69	41	8.4	Size: 9.x4	12000000	M82
M83	204.25	-29.87	Spiral Galaxy	Hydra	13	37	-1	29	52	7.6	Size: 11x10	15000000	M83
M84	186.275	12.88	Lenticular (S0) Galaxy	Virgo	12	25.1	1	12	53	9.1	Size: 5	60000000	M84
M85	186.35	18.18	Lenticular (S0) Galaxy	Coma Berenices	12	25.4	1	18	11	9.1	Size: 7.1x5.2	60000000	M85
M86	186.55	12.95	Lenticular (S0) Galaxy	Virgo	12	26.2	1	12	57	8.9	Size: 7.5x5.5	60000000	M86
M87	187.7	12.40	Elliptical Galaxy	Virgo	12	30.8	1	12	24	8.6	Size: 7	60000000	M87
M88	188	14.42	Spiral Galaxy	Coma Berenices	12	32	1	14	25	9.6	Size: 7x4	60000000	M88
M89	188.925	12.55	Elliptical Galaxy	Virgo	12	35.7	1	12	33	9.8	Size: 4	60000000	M89
M90	189.2	13.17	Spiral Galaxy	Virgo	12	36.8	1	13	10	9.5	Size: 9.5x4.5	60000000	M90
M91	188.85	14.50	Spiral Galaxy	Coma Berenices	12	35.4	1	14	30	10.2	Size: 5.4x4.4	60000000	M91
M92	259.275	43.13	Globular Cluster	Hercules	17	17.1	1	43	8	6.4	Size: 11.2	26400	M92
M93	116.15	-23.87	Open Cluster	Puppis	7	44.6	-1	23	52	6	Size: 22	3600	M93
M94	192.725	41.12	Spiral Galaxy	Canes Venatici	12	50.9	1	41	7	8.2	Size: 7x3	14500000	M94
M95	161	11.70	Spiral Galaxy	Leo	10	44	1	11	42	9.7	Size: 4.4x3.3	38000000	M95
M96	161.7	11.82	Spiral Galaxy	Leo	10	46.8	1	11	49	9.2	Size: 6x4	38000000	M96
M97	168.7	55.02	Planetary Nebula	Ursa Major	11	14.8	1	55	1	9.9	Size: 3.4x3.3	2600	M97
M98	183.45	14.90	Spiral Galaxy	Coma Berenices	12	13.8	1	14	54	10.1	Size: 9.5x3.2	60000000	M98
M99	184.7	14.42	Spiral Galaxy	Coma Berenices	12	18.8	1	14	25	9.9	Size: 5.4x4.8	60000000	M99
M100	185.725	15.82	Spiral Galaxy	Coma Berenices	12	22.9	1	15	49	9.3	Size: 7x6	60000000	M100
M101	210.8	54.35	Spiral Galaxy	Ursa Major	14	3.2	1	54	21	7.9	Size: 22	27000000	M101
M102	226.625	55.77	Lenticular (S0) Galaxy	Draco	15	6.5	1	55	46	9.9	Size: 5.2x2.3	40000000	M102
M103	23.3	60.70	Open Cluster	Cassiopeia	1	33.2	1	60	42	7.4	Size: 6	8000	M103
M104	190	-11.62	Spiral Galaxy	Virgo	12	40	-1	11	37	8	Size: 9x4	50000000	M104
M105	161.95	12.58	Elliptical Galaxy	Leo	10	47.8	1	12	35	9.3	Size: 2	38000000	M105
M106	184.75	47.30	Spiral Galaxy	Canes Venatici	12	19	1	47	18	8.4	Size: 19x8	25000000	M106
M107	248.125	-13.05	Globular Cluster	Ophiucus	16	32.5	-1	13	3	7.9	Size: 10	19600	M107
M108	167.875	55.67	Spiral Galaxy	Ursa Major	11	11.5	1	55	40	10	Size: 8x1	45000000	M108
M109	179.4	53.38	Spiral Galaxy	Ursa Major	11	57.6	1	53	23	9.8	Size: 7x4	55000000	M109
M110	10.1	41.68	Elliptical Galaxy	Andromeda	0	40.4	1	41	41	8.5	Size: 17x10	2900000	M110
